,Country/Region,Province/State,Lat,Long,Month,Confirmed
0,Australia,Australian Capital Territory,-35.4735,149.0124,2020-01,0
1,Australia,Australian Capital Territory,-35.4735,149.0124,2020-02,0
2,Australia,Australian Capital Territory,-35.4735,149.0124,2020-03,579
3,Australia,Australian Capital Territory,-35.4735,149.0124,2020-04,3028
4,Australia,Australian Capital Territory,-35.4735,149.0124,2020-05,3314
5,Australia,Australian Capital Territory,-35.4735,149.0124,2020-06,3235
6,Australia,Australian Capital Territory,-35.4735,149.0124,2020-07,3470
7,Australia,Australian Capital Territory,-35.4735,149.0124,2020-08,3503
8,Australia,Australian Capital Territory,-35.4735,149.0124,2020-09,3390
9,Australia,Australian Capital Territory,-35.4735,149.0124,2020-10,3514
10,Australia,Australian Capital Territory,-35.4735,149.0124,2020-11,3443
11,Australia,Australian Capital Territory,-35.4735,149.0124,2020-12,3639
12,Australia,Australian Capital Territory,-35.4735,149.0124,2021-01,3658
13,Australia,Australian Capital Territory,-35.4735,149.0124,2021-02,3304
14,Australia,Australian Capital Territory,-35.4735,149.0124,2021-03,3793
15,Australia,Australian Capital Territory,-35.4735,149.0124,2021-04,3692
16,Australia,Australian Capital Territory,-35.4735,149.0124,2021-05,3844
17,Australia,Australian Capital Territory,-35.4735,149.0124,2021-06,3720
18,Australia,Australian Capital Territory,-35.4735,149.0124,2021-07,3844
19,Australia,Australian Capital Territory,-35.4735,149.0124,2021-08,6607
20,Australia,Australian Capital Territory,-35.4735,149.0124,2021-09,20954
21,Australia,Australian Capital Territory,-35.4735,149.0124,2021-10,46670
22,Australia,Australian Capital Territory,-35.4735,149.0124,2021-11,59247
23,Australia,Australian Capital Territory,-35.4735,149.0124,2021-12,77470
24,Australia,Australian Capital Territory,-35.4735,149.0124,2022-01,684834
25,Australia,Australian Capital Territory,-35.4735,149.0124,2022-02,1201574
26,Australia,Australian Capital Territory,-35.4735,149.0124,2022-03,1980709
27,Australia,Australian Capital Territory,-35.4735,149.0124,2022-04,2254127
28,Australia,New South Wales,-33.8688,151.2093,2020-01,23
29,Australia,New South Wales,-33.8688,151.2093,2020-02,116
30,Australia,New South Wales,-33.8688,151.2093,2020-03,15757
31,Australia,New South Wales,-33.8688,151.2093,2020-04,84561
32,Australia,New South Wales,-33.8688,151.2093,2020-05,95130
33,Australia,New South Wales,-33.8688,151.2093,2020-06,94155
34,Australia,New South Wales,-33.8688,151.2093,2020-07,109877
35,Australia,New South Wales,-33.8688,151.2093,2020-08,122019
36,Australia,New South Wales,-33.8688,151.2093,2020-09,125176
37,Australia,New South Wales,-33.8688,151.2093,2020-10,134117
38,Australia,New South Wales,-33.8688,151.2093,2020-11,135076
39,Australia,New South Wales,-33.8688,151.2093,2020-12,146392
40,Australia,New South Wales,-33.8688,151.2093,2021-01,156463
41,Australia,New South Wales,-33.8688,151.2093,2021-02,143935
42,Australia,New South Wales,-33.8688,151.2093,2021-03,162604
43,Australia,New South Wales,-33.8688,151.2093,2021-04,161175
44,Australia,New South Wales,-33.8688,151.2093,2021-05,172090
45,Australia,New South Wales,-33.8688,151.2093,2021-06,169704
46,Australia,New South Wales,-33.8688,151.2093,2021-07,218148
47,Australia,New South Wales,-33.8688,151.2093,2021-08,499097
48,Australia,New South Wales,-33.8688,151.2093,2021-09,1437924
49,Australia,New South Wales,-33.8688,151.2093,2021-10,2195840
50,Australia,New South Wales,-33.8688,151.2093,2021-11,2365268
51,Australia,New South Wales,-33.8688,151.2093,2021-12,3353566
52,Australia,New South Wales,-33.8688,151.2093,2022-01,22772993
53,Australia,New South Wales,-33.8688,151.2093,2022-02,34037344
54,Australia,New South Wales,-33.8688,151.2093,2022-03,48070913
55,Australia,New South Wales,-33.8688,151.2093,2022-04,51622859
56,Australia,Northern Territory,-12.4634,130.8456,2020-01,0
57,Australia,Northern Territory,-12.4634,130.8456,2020-02,0
58,Australia,Northern Territory,-12.4634,130.8456,2020-03,126
59,Australia,Northern Territory,-12.4634,130.8456,2020-04,815
